leiden,n_cells,old_label,new_label,changed,treg_marker_mean,cd4_marker_mean,cd8_marker_mean,nk_marker_mean,tcell_marker_mean,paired_gd_fraction,phase4_trd_minus_trab_median,gdt_rule,nk_rule,treg_rule,cd8_rule,cd4_rule,n_gses,paired_ab_fraction,phase4_trd_score_median,phase4_trab_score_median,gdt_marker_mean,treg_cd4_ge_cd8,treg_nk_low
16,262628,Treg,CD8_T,True,0.3627763390541076,0.0,2.44394326210022,1.0201274156570437,1.2737575769424438,0.003107056368704,-0.0007164422422647,False,False,False,True,False,31,0.0614290936229191,-0.0400705225765705,-0.0411427207291126,0.0,False,False
19,34596,Treg,CD8_T,True,0.3038396835327148,0.6630271673202515,1.5095372200012207,0.433466762304306,1.427048921585083,0.0026303618915481,0.0164943244308233,False,False,False,True,False,28,0.0238177824025898,-0.0301446430385112,-0.0490427315235137,0.0,False,False
11,615707,CD4_T,CD4_T,False,0.0,1.5266317129135132,0.0,0.0,1.0888311862945557,0.0003004675925399,0.0022608982399106,False,False,False,False,True,30,0.4926044368506448,-0.0345148183405399,-0.037157941609621,0.0,True,True
3,530147,CD8_T,CD8_T,False,0.0,0.3763015568256378,1.851546049118042,0.6590979695320129,1.162418007850647,0.0051872405200821,0.0070427693426609,False,False,False,True,False,30,0.2044885663787591,-0.0335335806012153,-0.0420755892992019,0.0,False,False
10,465413,CD4_T,CD4_T,False,0.0,1.393742322921753,0.0,0.0,1.082517385482788,0.00093680236693,0.0042670555412769,False,False,False,False,True,30,0.3481896723984933,-0.0329542234539985,-0.0376505926251411,0.0,True,True
9,453368,CD8_T,CD8_T,False,0.0,0.0,1.669079303741455,3.059014320373535,0.8614311218261719,0.0040408674630763,0.0473387762904167,False,False,False,True,False,30,0.033696687900337,-0.0218251664191484,-0.0669590830802917,0.0,False,False
4,354509,CD4_T,CD4_T,False,0.0,1.1187341213226318,0.5604546070098877,0.0,1.0958869457244873,0.0025020521340784,0.007143847644329,False,False,False,False,True,30,0.3735194311004798,-0.0360088795423507,-0.0440567210316658,0.0,True,True
8,327887,CD4_T,CD4_T,False,0.0,0.5293631553649902,0.2349841445684433,0.0,0.2646889984607696,0.000914949357553,0.0085182189941406,False,False,False,False,True,30,0.0682796207229929,-0.039940271526575,-0.0505489744246006,0.0,True,True
1,319540,Treg,Treg,False,0.7245356440544128,1.0262006521224976,0.0,0.0,1.173225998878479,0.0003035613694686,-0.0080878566950559,False,False,True,False,True,29,0.3384020779871065,-0.0397040285170078,-0.0324412174522876,0.0,True,True
12,304966,CD8_T,CD8_T,False,0.0,0.0,2.506847858428955,2.129648208618164,1.297743558883667,0.0015772250021313,-0.0003819051198661,False,False,False,True,False,30,0.3013909747316094,-0.0329069197177886,-0.0340136624872684,0.0,False,False
0,231266,NK_cell,NK_cell,False,0.0,0.0,0.2717048823833465,0.6111088395118713,0.0,0.0001816090562382,0.0288165584206581,False,True,False,False,False,31,0.1044079112364117,-0.025305863469839,-0.0534407347440719,0.0,False,False
7,223837,CD4_T,CD4_T,False,0.0,1.1998845338821411,0.9333791732788086,0.1510497480630874,1.1071398258209229,0.0003440003216626,0.0059772692620754,False,False,False,False,True,30,0.520901370193489,-0.0384599231183528,-0.0450483039021492,0.0,True,True
13,223369,CD8_T,CD8_T,False,0.0,0.0,1.2226529121398926,1.5982145071029663,0.9029217958450316,0.0393608781881102,0.1970373839139938,False,False,False,True,False,30,0.1051130640330574,0.1233443990349769,-0.0696019679307937,0.0,False,False
6,191877,CD4_T,CD4_T,False,0.0,1.3305789232254028,1.2520802021026611,0.9150388240814208,1.128160834312439,0.0347149475966374,0.0201619807630777,False,False,False,False,True,30,0.2532820504802556,-0.028009183704853,-0.0509499497711658,0.0,True,False
5,164505,CD4_T,CD4_T,False,0.0,0.915513038635254,0.0,0.0,1.1021606922149658,0.0002127594905929,0.0065759271383285,False,False,False,False,True,29,0.148542597489438,-0.0364428050816059,-0.0439124256372451,0.0,True,True
15,107880,CD4_T,CD4_T,False,0.0,0.6077302098274231,0.0,0.0,0.2811846733093261,0.0008713385242862,0.0397311374545097,False,False,False,False,True,29,0.0415461624026696,-0.0376454330980777,-0.0774349197745323,0.0,True,True
2,90576,CD8_T,CD8_T,False,0.0,0.0,0.7720804810523987,0.5917186737060547,1.3488811254501345,0.0069113230877936,0.0162204056978225,False,False,False,True,False,30,0.2881116410528175,-0.0512070097029209,-0.0698814839124679,0.0,False,False
18,72152,CD8_T,CD8_T,False,0.0,0.0,1.1955344676971436,1.0673092603683472,1.0068585872650146,0.0971144251025612,0.0310385972261428,False,False,False,True,False,30,0.1052223084599179,-0.0270117111504077,-0.059513472020626,0.0,False,False
22,68137,CD8_T,CD8_T,False,0.0,0.485409140586853,1.2959725856781006,1.7217072248458862,1.2292749881744385,0.000425613103013,0.0034085325896739,False,False,False,True,False,30,0.3056635895328529,-0.0337272323668003,-0.0381954908370971,0.0,False,False
21,25443,NK_cell,NK_cell,False,0.0,0.1318529695272445,0.0,0.4400752484798431,0.0,0.0016114451912117,0.0496662929654121,False,True,False,False,False,29,0.0723578194395315,-0.0493887923657894,-0.1010156720876693,0.0,True,False
17,21283,CD8_T,CD8_T,False,0.0,0.5175121426582336,0.9557891488075256,0.4271779954433441,1.0454158782958984,0.0005638302870835,0.0103308409452438,False,False,False,True,False,30,0.0617864022929098,-0.0387365408241748,-0.0511512830853462,0.0,False,False
14,19705,gdT_cell,gdT_cell,False,0.0,0.8090500831604004,0.0,0.0,1.9430385828018188,0.4093884800811976,0.5390191674232483,True,False,False,False,True,29,0.1257041360060898,0.4813214540481567,-0.0535392239689827,0.3345482349395752,True,True
20,13956,other,other,False,0.0,0.0,0.0,0.0,0.0,0.0209229005445686,0.0295810122042894,False,False,False,False,False,27,0.1905273717397535,-0.0256383065134286,-0.052821010351181,0.0,True,True
23,6136,other,other,False,0.0,0.0,0.0,0.0,0.0,0.0032594524119947,0.0333710461854934,False,False,False,False,False,18,0.0247718383311603,-0.0585503950715065,-0.096307024359703,0.0,True,True
26,21,NK_cell,NK_cell,False,0.0,0.758529543876648,0.3969292044639587,0.613910973072052,0.0,0.0,0.0442795604467392,False,True,False,False,False,1,0.0,-0.037295363843441,-0.0810733810067176,0.0,True,False
